artist,title,date
"""Blitzen Trapper""","""Wild Mountain Nation""",2022-12-27T14:52:27.855050
"""Benko""","""American Writer (Live In Studio 1A)""",2022-12-27T14:52:27.858042
"""Sharon Van Etten""","""Just Like Blood""",2022-12-27T14:52:27.860036
"""Califone""","""Funeral Singers""",2022-12-27T14:52:27.876992
"""Viva Voce""","""Analog Woodland Song""",2022-12-27T14:52:27.907910
"""Pinback""","""Proceed To Memory""",2022-12-27T14:52:27.909905
"""Mavis Staples""","""High Note""",2022-12-27T14:52:27.911906
"""The Civil Wars""","""Barton Hollow""",2022-12-27T14:52:27.915918
"""Milo Greene""","""1957""",2022-12-27T14:52:27.917882
"""Nakia""","""Outta My Head""",2022-12-27T14:52:27.918879
"""Elizabeth McQueen""","""You’re To Blame""",2022-12-27T14:52:27.920873
"""Fleet Foxes""","""The Plains/Bitter Dancer""",2022-12-27T14:52:27.922868
"""Bombino""","""Timtar (Memories)""",2022-12-27T14:52:27.924865
"""Ximena Sariñana""","""Different""",2022-12-27T14:52:27.926859
"""John Mark Nelson""","""Boy""",2022-12-27T14:52:27.928885
"""Eric Johnson""","""Wind Cries Mary""",2022-12-27T14:52:27.929882
"""Damien Jurado""","""Arkansas""",2022-12-27T14:52:27.943814
"""Sour Bridges""","""Fine Life""",2022-12-27T14:52:27.946805
"""Tex Smith""","""Come On""",2022-12-27T14:52:27.947802
"""Santana""","""Oye Como Va""",2022-12-27T14:52:27.949795
"""The Pretenders""","""Holy Commotion""",2022-12-27T14:52:27.952788
"""Communist Daughter""","""Not The Kid""",2022-12-27T14:52:27.953786
"""Raglans""","""(Lady) Roll Back The Years""",2022-12-27T14:52:27.957807
"""Noel Christian Riddell""","""Rainy Day""",2022-12-27T14:52:27.958800
"""Phil Lomac""","""Stanger's Funeral""",2022-12-27T14:52:27.960795
"""Atlas Maior""","""Iddaa!""",2022-12-27T14:52:27.962761
"""Sylvan Esso""","""H.S.K.T. (Live on MBE)""",2022-12-27T14:52:27.964784
"""The Autumn Leaves""","""Lighthouse""",2022-12-27T14:52:27.966784
"""Benjy Feree""","""Fear""",2022-12-27T14:52:27.969753
"""Los Macuanos""","""Mar Negro""",2022-12-27T14:52:27.972770
"""Khruangbin""","""People Everywhere (Still Alive)""",2022-12-27T14:52:27.974765
"""Art Feynman""","""Feeling Good About Feeling Good""",2022-12-27T14:52:27.977722
"""Fighting the Villain""","""What's Left""",2022-12-27T14:52:27.979747
"""The Duke Spirit""","""Don't Wait""",2022-12-27T14:52:27.981740
"""Jason Myles Goss""","""When You're Lonesome - Demo""",2022-12-27T14:52:27.983734
"""El Rego""","""E Nan Mian Nuku""",2022-12-27T14:52:27.986725
"""Tristen""","""Clandestine""",2022-12-27T14:52:27.987696
"""Neil Finn""","""Impressions""",2022-12-27T14:52:27.991684
"""Le Butcherettes""","""strong/ENOUGH""",2022-12-27T14:52:27.992682
"""Lucius""","""Next To Normal""",2022-12-27T14:52:27.993693
"""Buffalo Nichols""","""How to Love""",2022-12-27T14:52:27.994677
"""Pete Yorn""","""Elizabeth Taylor""",2022-12-27T14:52:27.995706
"""Land of Talk""","""Weight of That Weekend""",2022-12-27T14:52:27.995706
"""Bola Sete""","""Soul Samba""",2022-12-27T14:52:27.997668
"""PJ Western""","""Human Machines""",2022-12-27T14:52:27.997668
"""Camp Cope""","""Running with the Hurricane""",2022-12-27T14:52:27.998667
"""Hello June""","""Mars""",2022-12-27T14:52:27.999665
"""Horse Feathers""","""Without Applause""",2022-12-27T14:52:28.000661
"""LUMP""","""May I Be The Light""",2022-12-27T14:52:28.001677
"""Kevin Morby""","""This Is a Photograph""",2022-12-27T14:52:28.004651
"""El Dragon Criollo""","""Cumbia Fantasia""",2022-12-27T14:52:28.005647
"""Ruler of Program""","""Lose It""",2022-12-27T14:52:28.006649
"""*repeat repeat""","""Everybody's Falling in Love""",2022-12-27T14:52:28.007642
"""Otis McDonald""","""Keep it Sexy""",2022-12-27T14:52:28.008656
"""Sadurn""","""snake""",2022-12-27T14:52:28.010634
"""Juliana Hatfield""","""It's So Weird""",2022-12-27T14:52:28.011633
"""Mitski""","""The Only Heartbreaker""",2022-12-27T14:52:28.012657
"""La Dame Blanche""","""Mata Sede""",2022-12-27T14:52:28.012657
"""Geese""","""Low Era""",2022-12-27T14:52:28.013654
"""Neko Case""","""Oh, Shadowless""",2022-12-27T14:52:28.014623
"""Eyedentity""","""País Da Maravilha (Wonderland)""",2022-12-27T14:52:28.015620
"""Ian George""","""The Wild and The Untamed""",2022-12-27T14:52:28.016618
"""Khana Bierbood""","""ลูกรัง /Dusty Lane""",2022-12-27T14:52:28.017615
"""Jana Horn""","""Optimism""",2022-12-27T14:52:28.018613
"""Keys N Krates""","""Original Classic""",2022-12-27T14:52:28.019611
"""Woolfy""","""Shooting Stars""",2022-12-27T14:52:28.020640
"""Bruce Hornsby""","""Days Ahead feat. Danielle Haim""",2022-12-27T14:52:28.021605
"""Yonder Mountain String Band""","""Into The Fire""",2022-12-27T14:52:28.021605
"""Ian Noe""","""Pine Grove (Madhouse)""",2022-12-27T14:52:28.022601
"""Katy Vernon""","""Undertow""",2022-12-27T14:52:28.023599
"""Qlowski""","""Folk Song""",2022-12-27T14:52:28.024599
"""Momma""","""Rockstar""",2022-12-27T14:52:28.025603
"""Purple Funk Metropolis""","""Tres Leches""",2022-12-27T14:52:28.026593
"""Betty Davis""","""Come Take Me""",2022-12-27T14:52:28.027590
"""Biggabush""","""Black Swan Revival""",2022-12-27T14:52:28.028613
"""Bambara""","""Birds""",2022-12-27T14:52:28.028613
"""Quinton Brock""","""There For You""",2022-12-27T14:52:28.029617
"""Ingrid Chavez""","""Snow-Blind""",2022-12-27T14:52:28.030580
"""Oh Sees""","""C""",2022-12-27T14:52:28.031579
"""Bombino""","""Timtar (Live)""",2022-12-27T14:52:28.032575
