artist,title,date
"""Cast Spells""","""Glamorous Glowing""",2023-01-01T17:32:58.084917
"""Aloe Blacc""","""You Make Me Smile""",2023-01-01T17:32:59.592885
"""The Fire Apes""","""It's Over""",2023-01-01T17:33:01.103881
"""Final Spins""","""Let Me Fall""",2023-01-01T17:33:01.124788
"""Beach Baby""","""Ladybird""",2023-01-01T17:33:02.644724
"""Damien Jurado""","""Silver Donna""",2023-01-01T17:33:04.158678
"""Eels""","""Where I'm From""",2023-01-01T17:33:05.673687
"""Erin Ivey""","""Tricks""",2023-01-01T17:33:05.693635
"""Delta Spirit""","""Bushwick Blues""",2023-01-01T17:33:07.203619
"""Alan Andrews""","""Phony French""",2023-01-01T17:33:08.715523
"""Desert Stars""","""With The Bears""",2023-01-01T17:33:08.740458
"""Harouki Zombi""","""Objet Petit A""",2023-01-01T17:33:10.288330
"""Jade Jackson""","""Good Time Gone""",2023-01-01T17:33:11.805272
"""Hacienda""","""You’re My Girl""",2023-01-01T17:33:13.310317
"""Shakey Graves""","""Dearly Departed""",2023-01-01T17:33:14.840279
"""Forro In The Dark""","""Perro Loco""",2023-01-01T17:33:16.352203
"""About Group""","""Don't Worry""",2023-01-01T17:33:16.375173
"""Yellow Ostrich""","""Whale""",2023-01-01T17:33:17.898068
"""Kopecky Family Band""","""Animal""",2023-01-01T17:33:19.413051
"""Carl Broemel""","""Sleepy Lagoon""",2023-01-01T17:33:20.944921
"""Júníus Meyvant""","""Hailslide""",2023-01-01T17:33:22.787009
"""David Wax Museum""","""Harder Before It Gets Easier (Live)""",2023-01-01T17:33:24.312961
"""Sera Cahoone""","""Deer Creek Canyon""",2023-01-01T17:33:25.830906
"""Steve Earle""","""Go Go Boots Are Back""",2023-01-01T17:33:27.341877
"""American Scarecrows""","""Gods of the West""",2023-01-01T17:33:27.363799
"""The Tallest Man on Earth""","""Like The Wheel""",2023-01-01T17:33:28.871737
"""Mia Doi Todd""","""Sleepless Nights""",2023-01-01T17:33:30.376744
"""The Cute Lepers""","""It's Summertime, Baby""",2023-01-01T17:33:30.398655
"""Science for Girls""","""14 Days""",2023-01-01T17:33:31.908616
